id,links
F1,"UC1,UC24,UC35,UC25,UC2,UC42,UC36,UC19,UC7,UC17,UC23,UC4,UC16,UC6,UC27,UC15,UC29,UC8,UC21,UC22,UC18"
F2,"UC6,UC4,UC7,UC2,UC14,UC16,UC15,UC24,UC33,UC32,UC31,UC23,UC21,UC36,UC40,UC42,UC35,UC19,UC1,UC17,UC25,UC27,UC29,UC8,UC22,UC18"
F3,"UC4,UC2,UC6,UC15,UC42,UC35,UC19,UC1,UC7,UC17,UC23,UC16,UC24,UC25,UC27,UC29,UC8,UC21,UC22,UC18,UC36"
F4,"UC4,UC7,UC2,UC14,UC15,UC6,UC16,UC24,UC33,UC32,UC31,UC23,UC21,UC36,UC40,UC42,UC35,UC19,UC1,UC17,UC25,UC27,UC29,UC8,UC22,UC18"
F5,"UC4,UC7,UC2,UC15,UC16,UC14,UC25,UC6,UC17,UC23,UC8,UC19,UC21,UC24,UC31,UC32,UC33,UC27,UC36,UC40,UC22,UC42,UC35,UC1,UC18,UC29"
F6,"UC42,UC17,UC36,UC40,UC16,UC25,UC15,UC7,UC2,UC19,UC4,UC18,UC21,UC8"
F7,"UC42,UC21,UC16,UC25,UC17,UC15,UC7,UC2,UC36,UC19,UC40,UC4,UC18,UC8,UC35,UC1,UC23,UC6,UC24,UC27,UC29,UC22"
F8,"UC42,UC24,UC22,UC16,UC25,UC17,UC15,UC7,UC2,UC36,UC19,UC21,UC40,UC4,UC18,UC8,UC35,UC1,UC23,UC6,UC27,UC29"
F9,"UC4,UC2,UC7,UC15,UC16,UC25,UC17,UC14,UC6,UC23,UC8,UC19,UC21,UC24,UC27,UC36,UC22,UC42,UC35,UC1,UC18,UC29"
F10,"UC4,UC2,UC7,UC15,UC14,UC6,UC24,UC16,UC21,UC42,UC36,UC35,UC19,UC1,UC17,UC23,UC25,UC27,UC29,UC8,UC22,UC18"
F11,"UC4,UC7,UC2,UC25,UC15,UC16,UC14,UC6,UC17,UC23,UC29,UC24,UC8,UC19,UC21,UC31,UC32,UC33,UC27,UC36,UC40,UC22,UC42,UC35,UC1,UC18"
F12,"UC25,UC16,UC17,UC29,UC15,UC2,UC24,UC42,UC35,UC19,UC1,UC7,UC23,UC4,UC6,UC27,UC8,UC21,UC22,UC18,UC36"
