id,links
F48,"UC16,UC24,UC19,UC18,UC23,UC15,UC42,UC4,UC22,UC8,UC6,UC2,UC7,UC29,UC36,UC27,UC25,UC1,UC35,UC21"
F2,"UC19,UC15,UC42,UC25,UC32,UC29,UC22,UC35,UC8,UC4,UC27,UC40,UC31,UC17,UC33,UC18,UC23,UC2,UC1,UC36,UC24,UC16,UC21,UC7,UC14"
F19,"UC24,UC25,UC42,UC35,UC16,UC27,UC21,UC17,UC36,UC1,UC18,UC40,UC2"
F3,"UC15,UC16,UC42,UC18,UC22,UC23,UC21,UC25,UC17,UC27,UC19,UC2,UC7,UC1,UC35,UC24,UC6,UC29,UC36,UC8"
F16,"UC6,UC19,UC14,UC35,UC24,UC7,UC40,UC25,UC29,UC4,UC36,UC23,UC18,UC27,UC2,UC15,UC32,UC42,UC8,UC16,UC22,UC1,UC33,UC21,UC17"
F18,"UC22,UC6,UC1,UC40,UC29,UC33,UC8,UC25,UC36,UC15,UC16,UC4,UC35,UC2,UC19,UC31,UC42,UC32,UC27,UC17,UC21,UC18,UC7,UC23,UC14"
F39,"UC15,UC17,UC14,UC21,UC1,UC2,UC24,UC23,UC35,UC4,UC33,UC42,UC25,UC40,UC6,UC31,UC32,UC16,UC7,UC36,UC18"
F32,"UC2,UC18,UC36,UC4,UC15,UC21,UC42,UC6,UC35,UC8,UC16,UC22,UC1,UC7,UC23,UC27,UC25,UC19,UC17,UC29"
F40,"UC14,UC16,UC2,UC35,UC4,UC32,UC31,UC15,UC23,UC24,UC7,UC36,UC6,UC25,UC33,UC40,UC1"
F7,"UC42,UC8,UC1,UC15,UC17,UC2,UC4,UC6,UC36,UC16,UC24,UC18,UC25,UC19,UC40,UC35,UC7,UC29,UC27"
F8,"UC17,UC2,UC7,UC18,UC15,UC4,UC24,UC35,UC19,UC6,UC36,UC25,UC27,UC16,UC29,UC42,UC1,UC8,UC40"
F15,"UC42,UC18,UC21,UC25,UC17,UC23,UC36,UC1,UC24,UC15,UC22,UC16,UC6,UC4,UC35,UC2,UC19,UC8,UC7,UC27"
