,1.0,1.0.1,1.0.2,1.0.3,1.0.4,1.1,1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.4,1.10.0,1.10.1,1.10.2,1.11.0,1.11.1,1.11.2,1.11.3,1.12.0,1.12.1,1.12.2,1.12.3,1.12.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.3,1.3.0,1.3.1,1.3.2,1.4,1.4.0,1.4.1,1.4.2,1.4.3,1.4.4,1.5,1.5.0,1.5.1,1.5.2,1.6,1.6.0,1.6.1,1.6.2,1.6.3,1.6.4,1.7,1.7.0,1.7.1,1.7.2,1.8.0,1.8.1,1.8.2,1.8.3,1.9.0,1.9.1,2.0.0,2.0.1,2.0.2,2.0.3,2.1.0,2.1.1,2.1.2,2.1.3,2.1.4,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,3.0.0,3.1.0,3.1.1,3.2.0,3.2.1,3.3.0,3.3.1,3.4.0,3.4.1
1.0,,4921,4353,4295,4066,868,868,868,496,356,326,3,3,3,3,3,3,3,3,3,3,3,3,165,165,99,80,106,106,106,34,34,34,34,43,43,43,,3,3,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1.0.1,4921,,4353,4295,4066,868,868,868,496,356,326,3,3,3,3,3,3,3,3,3,3,3,3,165,165,99,80,106,106,106,34,34,34,34,43,43,43,,3,3,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1.0.2,5109,5109,,5594,4892,1097,1097,1097,632,475,445,3,3,3,3,3,3,3,3,3,3,3,3,189,189,116,97,123,123,123,47,47,47,47,43,43,43,,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1.0.3,5115,5115,5698,,5287,1282,1282,1288,773,606,454,3,3,3,3,3,3,3,3,3,3,3,3,189,189,116,97,123,123,123,47,47,47,47,43,43,43,,3,3,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1.0.4,4394,4394,4612,4898,,1996,1992,1996,1746,1554,488,10,10,10,10,10,10,10,10,10,10,10,10,212,212,139,120,143,143,143,67,67,67,67,50,50,50,7,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1.1,963,963,1004,1153,2039,,4349,4265,2876,2810,1622,149,149,149,149,149,149,149,149,149,149,149,149,718,718,625,606,540,540,530,282,282,282,277,165,165,165,160,160,160,157,157,157,157,157,157,157,157,157,157,155,155,155,155,146,146,146,146,149,149,150,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,144,144,144,144
1.1.1,963,963,1004,1153,2038,4369,,4398,2943,2877,1705,189,189,189,189,189,189,189,189,189,189,189,189,807,807,715,692,617,617,607,330,330,330,325,205,205,205,200,200,200,197,197,197,197,197,197,197,197,197,197,195,195,195,195,186,186,186,186,189,189,190,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,149,149,144,144,144,144
1.1.2,954,954,995,1152,2081,4383,4495,,3051,2986,1745,188,188,188,188,188,188,188,188,188,188,188,188,831,831,739,716,624,624,614,329,329,329,324,204,204,204,199,199,199,196,196,196,196,196,196,196,196,196,196,194,194,194,194,185,185,185,185,188,188,189,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,149,149,144,144,144,144
1.1.3,556,556,602,708,1872,3007,3063,3103,,4171,2844,181,181,181,181,181,181,181,181,181,181,181,181,1288,1288,1021,989,839,839,829,479,479,479,470,257,257,257,252,252,252,233,233,233,233,216,216,216,216,216,216,211,211,211,195,178,178,178,178,181,181,183,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,142,142,138,138,138,138
1.1.3.1,449,449,495,601,1765,2963,3020,3061,4186,,2870,181,181,181,181,181,181,181,181,181,181,181,181,1307,1307,1041,1009,851,851,849,491,491,491,482,257,257,257,252,252,252,233,233,233,233,216,216,216,216,216,216,211,211,211,195,178,178,178,178,181,181,183,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,142,142,138,138,138,138
